"Fixed_Date","Date","SingleMen","SingleWomen","TotalSingleAdults","FamiliesWithChildren","AdultFamilies","TotalFamilies","NumberofAdultsinFamilies","NumberOfChildrenInFamilies"
2012-07-01,"July 2012","8569","3284","11853","10594","1913","12507","18796","20516"
2012-06-01,"June 2012","8505","3166","11671","10133","1878","12011","18158","19609"
2012-05-01,"May 2012","8335","3156","11691","9865","1866","11731","17768","19002"
2012-04-01,"April 2012","8369","3134","11503","9676","1814","11490","17392","18626"
2012-03-01,"March 2012","8455","3106","11561","9688","1770","11458","17332","18666"
2012-02-01,"February 2012","8763","3061","11824","32116","3617","35733","17150","18583"
2012-01-01,"January 2012",NA,NA,NA,NA,NA,NA,NA,NA
2011-12-01,"December 2011",NA,NA,NA,NA,NA,NA,NA,NA
2011-11-01,"November 2011","8517","3032","11549","29255","3301","32556","12208","17048"
2011-10-01,"October 2011","8427","3103","11530","31711","3352","35063","16835","18211"
2011-09-01,"September 2011","8367","3109","11476","9748","1606","11354","16245","18631"
